--- Scan at 2026-02-14 11:42:39 ---
PID: 28076 | Name: ChatGPT.exe | Threads: 19
PID: 28416 | Name: powershell.exe | Threads: 27
PID: 28440 | Name: svchost.exe | Threads: 14
PID: 28720 | Name: chrome.exe | Threads: 21
PID: 29040 | Name: svchost.exe | Threads: 4
PID: 29228 | Name: HPSystemEventUtilityHost.exe | Threads: 6
PID: 29236 | Name: chrome.exe | Threads: 20
PID: 29424 | Name: chrome.exe | Threads: 22
PID: 29932 | Name: msedge.exe | Threads: 16
PID: 29940 | Name: msedge.exe | Threads: 21
PID: 30004 | Name: msedge.exe | Threads: 11
PID: 30632 | Name: msedge.exe | Threads: 24
PID: 30664 | Name: msedge.exe | Threads: 15
PID: 30736 | Name: chrome.exe | Threads: 19
PID: 31004 | Name: smartscreen.exe | Threads: 7
PID: 31332 | Name: chrome.exe | Threads: 21
PID: 31684 | Name: chrome.exe | Threads: 16
PID: 31704 | Name: chrome.exe | Threads: 19

